
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,1,2015-10-28,24-208,PHI,@,BOS,L (-17),1,36:04,3,14,.214,3,9,.333,0,0,,1,2,3,3,0,0,2,6,9,-0.6,-15,17.8
2,2,2015-10-30,24-210,PHI,,UTA,L (-28),1,31:32,3,7,.429,2,3,.667,2,2,1.000,1,3,4,1,0,0,1,4,10,6.0,-25,17.0
3,3,2015-11-02,24-213,PHI,,CLE,L (-7),0,31:02,3,7,.429,1,4,.250,5,6,.833,1,5,6,4,1,0,1,1,12,12.5,+16,27.5
4,4,2015-11-04,24-215,PHI,@,MIL,L (-4),0,27:46,3,7,.429,1,4,.250,0,0,,1,3,4,1,1,1,5,2,7,1.5,-22,15.5
5,5,2015-11-06,24-217,PHI,@,CLE,L (-6),0,25:57,3,6,.500,2,4,.500,0,0,,1,7,8,3,0,0,0,2,8,9.1,+9,23.5
6,6,2015-11-07,24-218,PHI,,ORL,L (-8),0,28:25,2,6,.333,1,4,.250,1,3,.333,0,2,2,2,0,0,1,1,6,2.4,-4,11.5
7,7,2015-11-09,24-220,PHI,,CHI,L (-23),0,20:43,2,8,.250,1,4,.250,0,0,,1,2,3,0,0,0,1,2,5,-0.3,+1,8.8
8,8,2015-11-11,24-222,PHI,,TOR,L (-16),0,26:39,6,8,.750,5,6,.833,2,2,1.000,1,3,4,1,0,0,1,5,19,15.1,+8,27.5
9,9,2015-11-13,24-224,PHI,@,OKC,L (-17),0,21:34,2,6,.333,2,4,.500,2,2,1.000,0,1,1,1,2,0,3,2,8,3.8,-8,14.3
10,10,2015-11-14,24-225,PHI,@,SAS,L (-9),0,29:40,3,8,.375,2,6,.333,0,0,,1,2,3,1,0,0,2,0,8,3.6,+4,13.3
11,11,2015-11-16,24-227,PHI,,DAL,L (-6),0,28:50,4,6,.667,3,4,.750,1,1,1.000,0,3,3,2,1,0,2,3,12,9.5,+6,21.3
12,12,2015-11-18,24-229,PHI,,IND,L (-27),0,26:54,1,9,.111,0,6,.000,1,2,.500,2,7,9,2,3,0,3,5,3,-0.4,-20,21.8
13,13,2015-11-20,24-231,PHI,@,CHO,L (-25),0,28:32,3,9,.333,3,6,.500,0,0,,1,3,4,0,1,2,3,1,9,4.5,-22,20.0
14,14,2015-11-21,24-232,PHI,@,MIA,L (-5),0,20:57,0,4,.000,0,3,.000,0,0,,1,3,4,1,0,1,1,5,0,-2.8,+17,8.0
15,15,2015-11-23,24-234,PHI,@,MIN,L (-5),0,32:46,6,10,.600,3,7,.429,0,1,.000,1,4,5,1,1,0,0,2,15,12.8,+1,26.3
16,16,2015-11-25,24-236,PHI,@,BOS,L (-4),0,32:56,6,11,.545,3,7,.429,0,1,.000,0,2,2,0,0,1,0,2,15,9.8,+4,21.0
17,17,2015-11-27,24-238,PHI,@,HOU,L (-2),0,26:14,3,8,.375,2,5,.400,2,3,.667,0,4,4,0,2,0,0,5,10,6.4,+7,20.0
18,18,2015-11-29,24-240,PHI,@,MEM,L (-8),0,27:42,5,11,.455,2,7,.286,0,0,,1,4,5,3,2,1,0,3,12,11.8,-6,29.8
19,19,2015-12-01,24-242,PHI,,LAL,W (+12),0,28:38,3,10,.300,2,6,.333,4,4,1.000,2,3,5,1,0,1,3,3,12,5.7,+1,21.3
20,20,2015-12-02,24-243,PHI,@,NYK,L (-12),0,26:40,5,12,.417,3,5,.600,0,0,,0,4,4,0,0,1,1,4,13,5.9,-14,21.0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
21,21,2015-12-05,24-246,PHI,,DEN,L (-3),0,23:13,1,4,.250,0,2,.000,0,0,,0,2,2,6,0,1,1,5,2,2.1,-4,15.0
22,22,2015-12-07,24-248,PHI,,SAS,L (-51),0,19:00,1,6,.167,1,4,.250,0,0,,0,1,1,0,0,0,0,1,3,-0.9,-24,4.8
23,23,2015-12-10,24-251,PHI,@,BRK,L (-9),0,25:05,0,5,.000,0,3,.000,2,2,1.000,0,2,2,2,1,0,0,1,2,1.1,-7,9.5
24,24,2015-12-11,24-252,PHI,,DET,L (-12),0,28:07,2,5,.400,0,0,,1,1,1.000,1,2,3,0,0,0,1,0,5,2.6,-4,8.3
25,25,2015-12-13,24-254,PHI,@,TOR,L (-20),0,15:17,1,4,.250,0,1,.000,0,0,,1,2,3,0,0,1,3,0,2,-1.4,-11,6.3
26,26,2015-12-14,24-255,PHI,@,CHI,L (-19),0,26:40,2,5,.400,1,2,.500,0,0,,0,1,1,4,0,0,0,3,5,4.2,-1,12.8
27,27,2015-12-16,24-257,PHI,@,ATL,L (-21),0,14:23,2,6,.333,1,4,.250,1,2,.500,0,2,2,1,0,0,1,1,6,2.1,-13,10.0
28,28,2015-12-18,24-259,PHI,,NYK,L (-10),0,21:11,3,7,.429,2,5,.400,2,4,.500,1,6,7,0,0,0,1,4,10,5.4,-9,19.3
29,29,2015-12-20,24-261,PHI,@,CLE,L (-22),0,21:56,2,6,.333,2,3,.667,0,0,,1,1,2,0,0,0,2,2,6,0.8,-17,8.5
30,30,2015-12-22,24-263,PHI,,MEM,L (-14),0,27:32,6,9,.667,4,6,.667,0,0,,0,1,1,0,0,0,2,2,16,9.6,-14,18.3
31,31,2015-12-23,24-264,PHI,@,MIL,L (-13),0,31:42,7,16,.438,2,7,.286,0,0,,2,3,5,1,0,0,1,3,16,8.4,-9,24.3
32,32,2015-12-26,24-267,PHI,@,PHO,W (+7),0,35:14,3,6,.500,3,6,.500,0,1,.000,0,4,4,3,1,1,1,4,9,8.0,-6,23.5
33,33,2015-12-28,24-269,PHI,@,UTA,L (-4),0,33:19,1,6,.167,1,4,.250,1,1,1.000,1,3,4,1,1,0,1,6,4,0.1,-9,12.5
34,34,2015-12-30,24-271,PHI,@,SAC,W (+5),0,12:33,5,10,.500,1,4,.250,1,1,1.000,0,2,2,0,0,0,0,1,12,7.2,-2,15.0
35,,2016-01-01,24-273,PHI,@,LAL,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,,2016-01-02,24-274,PHI,@,LAC,L (-31),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,35,2016-01-04,24-276,PHI,,MIN,W (+10),0,20:47,4,9,.444,1,5,.200,0,1,.000,1,1,2,1,0,1,0,2,9,5.5,+5,15.5
38,36,2016-01-07,24-279,PHI,,ATL,L (-28),0,21:52,4,7,.571,1,3,.333,0,0,,0,0,0,1,0,0,2,0,9,4.4,-4,10.0
39,37,2016-01-09,24-281,PHI,,TOR,L (-13),0,30:41,3,9,.333,2,4,.500,0,0,,0,2,2,1,0,0,0,4,8,2.6,-22,13.0
40,38,2016-01-10,24-282,PHI,,CLE,L (-10),0,25:43,3,4,.750,2,3,.667,0,0,,0,3,3,0,0,1,1,1,8,6.6,-10,14.3
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
41,39,2016-01-14,24-286,PHI,,CHI,L (-4),0,33:32,3,8,.375,1,5,.200,0,0,,0,2,2,1,1,0,1,4,7,2.3,+7,13.0
42,40,2016-01-16,24-288,PHI,,POR,W (+25),0,23:06,1,5,.200,1,3,.333,0,0,,0,4,4,1,0,0,1,2,3,0.0,+13,9.5
