
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,1,2015-10-28,29-001,LAL,,MIN,L (-1),0,27:27,6,13,.462,2,6,.333,7,7,1.000,0,2,2,1,0,1,1,3,21,14.1,+3,27.5
2,2,2015-10-30,29-003,LAL,@,SAC,L (-18),0,26:08,3,9,.333,0,3,.000,2,2,1.000,0,4,4,5,1,0,2,2,8,5.8,-2,21.5
3,3,2015-11-01,29-005,LAL,,DAL,L (-10),0,26:53,4,12,.333,3,9,.333,2,2,1.000,0,1,1,1,1,0,3,3,13,4.0,0,17.8
4,4,2015-11-03,29-007,LAL,,DEN,L (-11),0,33:27,4,11,.364,0,5,.000,16,19,.842,0,5,5,2,3,1,0,3,24,22.1,-9,41.3
5,5,2015-11-06,29-010,LAL,@,BRK,W (+6),0,24:39,2,9,.222,0,4,.000,6,6,1.000,0,1,1,3,1,0,0,2,10,7.1,+8,17.8
6,6,2015-11-08,29-012,LAL,@,NYK,L (-4),0,21:12,3,12,.250,1,6,.167,2,3,.667,1,1,2,5,1,0,1,1,9,5.5,+7,21.0
7,7,2015-11-10,29-014,LAL,@,MIA,L (-13),0,26:04,3,11,.273,2,5,.400,6,7,.857,1,3,4,3,0,0,2,3,14,7.6,-1,23.5
8,8,2015-11-11,29-015,LAL,@,ORL,L (-2),0,28:55,2,8,.250,0,3,.000,9,10,.900,0,3,3,3,0,0,1,1,13,9.4,-4,20.8
9,9,2015-11-13,29-017,LAL,@,DAL,L (-8),0,28:27,3,11,.273,1,2,.500,3,5,.600,0,0,0,4,1,0,3,3,10,2.3,-19,17.0
10,10,2015-11-15,29-019,LAL,,DET,W (+12),0,19:58,1,4,.250,0,1,.000,2,4,.500,0,2,2,4,0,0,1,2,4,2.4,+11,12.0
11,11,2015-11-16,29-020,LAL,@,PHO,L (-19),0,21:37,6,12,.500,2,4,.500,2,2,1.000,0,2,2,0,0,0,2,2,16,7.8,-16,18.5
12,12,2015-11-20,29-024,LAL,,TOR,L (-11),0,15:54,2,6,.333,1,3,.333,1,3,.333,0,0,0,3,2,1,2,0,6,4.6,-23,16.0
13,13,2015-11-22,29-026,LAL,,POR,L (-14),0,24:46,3,8,.375,1,3,.333,7,7,1.000,1,4,5,0,0,0,1,0,14,10.5,-6,20.3
14,14,2015-11-24,29-028,LAL,@,GSW,L (-34),0,22:30,4,5,.800,0,0,,2,4,.500,0,1,1,0,0,0,2,4,10,4.0,-28,10.3
15,,2015-11-28,29-032,LAL,@,POR,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2015-11-29,29-033,LAL,,IND,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,15,2015-12-01,29-035,LAL,@,PHI,L (-12),0,21:20,2,6,.333,1,3,.333,4,5,.800,0,0,0,1,1,0,1,1,9,5.5,-3,12.5
18,16,2015-12-02,29-036,LAL,@,WAS,W (+4),0,32:35,3,8,.375,2,4,.500,4,4,1.000,0,2,2,4,7,0,2,3,12,14.8,+8,34.5
19,17,2015-12-04,29-038,LAL,@,ATL,L (-13),0,30:51,6,13,.462,3,6,.500,3,4,.750,0,1,1,2,1,1,1,3,18,12.1,-11,27.3
20,18,2015-12-06,29-040,LAL,@,DET,L (-20),0,31:51,6,12,.500,3,6,.500,6,9,.667,0,0,0,0,0,0,1,2,21,12.0,-14,22.0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
21,19,2015-12-07,29-041,LAL,@,TOR,L (-9),1,31:00,5,11,.455,3,5,.600,2,2,1.000,0,3,3,0,0,0,1,3,15,8.0,-10,19.8
22,20,2015-12-09,29-043,LAL,@,MIN,L (-1),1,33:31,7,11,.636,2,4,.500,3,6,.500,3,4,7,5,1,0,1,0,19,19.7,-5,37.8
23,21,2015-12-11,29-045,LAL,@,SAS,L (-22),1,33:48,7,12,.583,2,5,.400,3,3,1.000,0,3,3,1,2,1,2,2,19,14.9,-26,30.3
24,22,2015-12-12,29-046,LAL,@,HOU,L (-29),1,28:32,3,10,.300,1,5,.200,8,9,.889,1,4,5,3,2,0,4,3,15,9.6,-19,28.3
25,23,2015-12-15,29-049,LAL,,MIL,W (+18),1,31:49,4,9,.444,1,5,.200,7,7,1.000,0,3,3,4,1,0,2,1,16,13.6,+23,27.3
26,24,2015-12-17,29-051,LAL,,HOU,L (-20),1,31:07,5,9,.556,2,5,.400,2,3,.667,0,5,5,3,0,1,2,2,14,10.8,-12,26.8
27,25,2015-12-19,29-053,LAL,@,OKC,L (-40),1,26:51,5,11,.455,4,6,.667,6,6,1.000,0,2,2,1,3,0,1,2,20,16.8,-22,31.5
28,26,2015-12-22,29-056,LAL,@,DEN,W (+4),1,37:03,6,11,.545,3,5,.600,2,5,.400,1,3,4,5,1,0,1,2,17,14.8,+8,32.5
29,27,2015-12-23,29-057,LAL,,OKC,L (-35),1,25:07,0,6,.000,0,2,.000,2,6,.333,1,0,1,2,1,0,0,2,2,-1.5,-47,8.3
30,28,2015-12-25,29-059,LAL,,LAC,L (-10),1,25:42,1,5,.200,1,3,.333,4,7,.571,0,1,1,2,0,0,0,1,7,4.0,-13,11.8
31,29,2015-12-27,29-061,LAL,@,MEM,L (-16),1,30:14,2,10,.200,1,6,.167,0,0,,0,0,0,1,0,1,1,1,5,-1.2,-14,8.5
32,30,2015-12-28,29-062,LAL,@,CHO,L (-10),1,37:32,4,13,.308,1,5,.200,2,2,1.000,1,3,4,7,1,0,1,2,11,9.2,-7,28.5
33,31,2015-12-30,29-064,LAL,@,BOS,W (+8),1,34:46,7,9,.778,1,2,.500,4,4,1.000,1,3,4,2,2,0,1,1,19,19.1,+10,31.0
34,32,2016-01-01,29-066,LAL,,PHI,W (+9),1,36:53,6,15,.400,2,7,.286,10,12,.833,0,4,4,5,0,1,4,1,24,16.1,+7,37.5
35,33,2016-01-03,29-068,LAL,,PHO,W (+20),1,33:53,11,17,.647,6,7,.857,2,3,.667,0,7,7,4,2,0,2,1,30,26.6,+26,50.8
36,34,2016-01-05,29-070,LAL,,GSW,L (-21),1,23:40,0,7,.000,0,3,.000,10,10,1.000,1,1,2,1,1,0,2,2,10,5.0,-20,15.0
37,35,2016-01-07,29-072,LAL,@,SAC,L (-3),1,32:04,7,13,.538,3,8,.375,3,4,.750,0,0,0,3,0,1,0,2,20,15.3,-19,28.0
38,36,2016-01-08,29-073,LAL,,OKC,L (-4),1,34:57,12,25,.480,5,14,.357,15,15,1.000,0,2,2,1,2,0,1,1,44,33.2,+4,54.0
39,37,2016-01-10,29-075,LAL,,UTA,L (-12),1,32:27,5,17,.294,1,8,.125,7,9,.778,3,5,8,6,2,0,6,0,18,11.1,-2,38.5
