
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
1,1,2015-10-28,29-175,MIA,,CHO,W (+10),1,30:53,4,8,.500,0,0,,0,0,,0,1,1,6,0,2,1,4,8,7.3,+2,21.8
2,2,2015-10-30,29-177,MIA,@,CLE,L (-10),1,33:36,3,9,.333,1,3,.333,4,4,1.000,0,3,3,6,1,0,1,3,11,9.8,+9,25.8
3,3,2015-11-01,29-179,MIA,,HOU,W (+20),1,24:17,3,7,.429,0,1,.000,2,2,1.000,0,3,3,6,1,0,1,4,8,7.8,-6,22.3
4,4,2015-11-03,29-181,MIA,,ATL,L (-6),1,32:10,6,11,.545,3,5,.600,4,4,1.000,2,3,5,2,3,1,4,2,19,16.3,+2,35.8
5,5,2015-11-05,29-183,MIA,@,MIN,W (+12),1,32:33,7,12,.583,1,3,.333,3,4,.750,2,1,3,2,0,0,2,1,18,12.7,+18,24.3
6,6,2015-11-06,29-184,MIA,@,IND,L (-3),1,30:36,5,11,.455,1,2,.500,0,0,,0,2,2,4,0,0,5,4,11,2.1,-6,17.5
7,7,2015-11-08,29-186,MIA,,TOR,W (+20),1,26:27,1,5,.200,0,3,.000,0,0,,0,2,2,3,0,0,2,1,2,-0.8,+4,8.0
8,8,2015-11-10,29-188,MIA,,LAL,W (+13),1,29:30,2,10,.200,0,3,.000,0,0,,0,5,5,3,0,0,1,3,4,-0.8,+23,14.3
9,9,2015-11-12,29-190,MIA,,UTA,W (+1),1,34:44,5,12,.417,0,3,.000,4,6,.667,0,3,3,4,2,0,4,0,14,8.5,-14,25.8
10,10,2015-11-17,29-195,MIA,,MIN,L (-12),1,36:09,5,12,.417,1,4,.250,5,7,.714,0,2,2,9,1,0,2,6,16,12.3,+4,33.5
11,11,2015-11-19,29-197,MIA,,SAC,W (+7),1,31:32,4,11,.364,1,4,.250,0,1,.000,1,0,1,6,0,0,0,2,9,6.6,-5,19.8
12,12,2015-11-21,29-199,MIA,,PHI,W (+5),1,26:15,3,7,.429,0,0,,0,0,,2,5,7,4,1,0,3,4,6,4.4,+25,21.3
13,13,2015-11-23,29-201,MIA,,NYK,W (+17),1,31:02,6,12,.500,1,2,.500,0,1,.000,3,6,9,5,3,0,3,2,13,13.2,-1,36.8
14,14,2015-11-25,29-203,MIA,@,DET,L (-23),1,30:05,5,11,.455,0,2,.000,3,4,.750,0,0,0,4,0,1,2,2,13,7.6,-16,20.0
15,15,2015-11-27,29-205,MIA,@,NYK,W (+19),1,29:49,3,8,.375,0,0,,3,3,1.000,0,4,4,3,1,0,1,0,9,7.9,+17,20.0
16,16,2015-11-30,29-208,MIA,,BOS,L (-10),1,34:26,4,10,.400,0,3,.000,1,4,.250,1,3,4,3,1,0,3,2,9,3.3,-12,19.0
17,17,2015-12-03,29-211,MIA,,OKC,W (+2),1,36:29,6,11,.545,2,2,1.000,0,0,,1,2,3,7,2,0,1,2,14,15.1,+10,32.8
18,18,2015-12-05,29-213,MIA,,CLE,W (+15),1,30:31,7,11,.636,3,5,.600,0,0,,0,2,2,8,0,0,4,3,17,13.1,+22,31.0
19,19,2015-12-07,29-215,MIA,,WAS,L (-11),1,34:00,7,12,.583,2,4,.500,4,4,1.000,0,3,3,9,1,0,4,3,20,17.4,-2,38.3
20,20,2015-12-09,29-217,MIA,@,CHO,L (-18),1,24:25,2,7,.286,1,4,.250,0,0,,0,2,2,2,0,0,2,0,5,0.9,-22,10.0
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,DFS
21,21,2015-12-11,29-219,MIA,@,IND,L (-13),1,31:28,2,5,.400,0,1,.000,1,2,.500,1,4,5,7,1,0,5,2,5,3.9,-10,21.3
22,22,2015-12-13,29-221,MIA,,MEM,W (+3),1,34:53,3,14,.214,0,5,.000,2,3,.667,1,2,3,8,1,0,5,2,8,1.1,-1,23.3
23,23,2015-12-14,29-222,MIA,@,ATL,W (+12),1,34:41,6,14,.429,0,2,.000,0,0,,2,5,7,8,2,2,2,3,12,13.3,+18,39.8
24,24,2015-12-16,29-224,MIA,@,BRK,W (+6),1,36:24,6,15,.400,1,6,.167,3,4,.750,0,3,3,5,2,1,1,4,16,12.0,+4,33.3
25,25,2015-12-18,29-226,MIA,,TOR,L (-14),1,33:24,8,13,.615,0,2,.000,2,3,.667,0,2,2,5,1,0,2,2,18,14.0,-16,29.0
26,26,2015-12-20,29-228,MIA,,POR,W (+7),1,27:08,4,10,.400,0,1,.000,0,0,,1,1,2,8,2,1,0,2,8,11.1,+2,28.5
27,,2015-12-22,29-230,MIA,,DET,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,27,2015-12-25,29-233,MIA,,NOP,W (+6),1,40:04,3,8,.375,0,2,.000,1,2,.500,1,2,3,6,0,0,2,0,7,5.7,+15,18.8
